threshold,total_cost,n_false_negatives,n_false_positives,approval_rate
0.005,849475702.4625,0,56527,0.00017885306407817506
0.0075,844758867.375,0,56235,0.00492658894688064
0.009999999999999998,834071649.1875,5,55441,0.01791782514674081
0.012499999999999999,814998103.425,18,54104,0.039867973919971385
0.015,793663844.4,38,52369,0.06840316732517113
0.017499999999999998,771326134.3125,74,50389,0.10118205615986212
0.019999999999999997,746058562.6499999,109,48254,0.13646488789164757
0.0225,719748984.4875,144,46071,0.17252816935759233
0.024999999999999998,699995366.6624999,191,43910,0.20842885712892054
0.027499999999999997,685944973.2375,259,41731,0.2449636603092532
0.029999999999999995,666215498.5875,308,39693,0.27889696437572153
0.032499999999999994,653197246.3125,369,37809,0.3105214379786352
0.034999999999999996,636931539.6750001,417,35957,0.3414142399557745
0.03749999999999999,630270943.0875,481,34242,0.3703396582280539
0.039999999999999994,622961321.4000001,538,32698,0.3963709087361592
0.04249999999999999,612705146.4,597,31078,0.42367039006227336
0.04499999999999999,609584134.3875,665,29627,0.4483683722745232
0.047499999999999994,605915853.6375,729,28308,0.4708550802399883
0.04999999999999999,607499555.5125,804,27053,0.49248004162398584
0.05249999999999999,608809434.8625001,866,25961,0.5112433539827326
0.054999999999999986,606962345.4,920,24854,0.5301204819277109
0.05749999999999999,610680246.075,988,23808,0.5482334195079914
0.05999999999999999,610171613.6624999,1042,22831,0.5649968294229549
0.062499999999999986,608816029.1624999,1097,21860,0.5816789424906103
0.06499999999999999,612797097.4875,1158,21014,0.5964261905923288
0.06749999999999999,619752636.2249999,1225,20201,0.6107344357185829
0.06999999999999999,626454008.4375,1296,19404,0.624847568411297
0.0725,629035679.025,1359,18620,0.6386192543453165
0.075,634046307.4125,1415,17903,0.6511877469391737
0.0775,636580520.2125,1460,17238,0.6627318992569469
0.07999999999999999,640339849.8,1514,16603,0.6739346048160252
0.08249999999999999,647032670.8875,1576,15946,0.6856250914589532
0.08499999999999999,652984657.9875,1632,15364,0.6959985691754874
0.0875,658759848.8625,1685,14830,0.7055428190494772
0.09,667496932.425,1741,14354,0.7141928036030762
0.09249999999999999,674368372.125,1796,13842,0.7234118660878331
0.09499999999999999,683946165.375,1853,13327,0.7327122254198982
0.09749999999999999,691971836.8499999,1904,12845,0.7413784693429589
0.09999999999999999,701554154.2874999,1961,12409,0.7493943384875534
0.1025,707042686.5,2005,12001,0.7567435734842203
0.10499999999999998,713038161.2625,2044,11582,0.764190364697657
0.10749999999999998,717410977.2,2079,11236,0.7703851844625466
0.10999999999999999,726057610.65,2134,10887,0.776953969725054
0.11249999999999999,733869718.9875,2187,10534,0.7835552737264849
0.11499999999999999,739092773.4749999,2231,10194,0.7897988715997594
0.1175,742607205.6374999,2268,9850,0.7959936913646489
0.11999999999999998,748484673.75,2307,9549,0.8015218769816107
0.12249999999999998,754974410.625,2348,9248,0.8070825813374958
0.12499999999999999,762112540.5749999,2390,8941,0.8127571012796124
0.12749999999999997,768598606.575,2432,8650,0.8181714713103426
0.12999999999999998,774014792.2875,2468,8387,0.8230330227793766
0.13249999999999998,784009569.0374999,2525,8111,0.8284473928101068
0.13499999999999998,790477289.4375,2566,7872,0.8330000162593695
0.13749999999999998,798480109.9125001,2600,7630,0.8374876022307854
0.13999999999999999,801251511.1875,2630,7360,0.8423654130692811
0.1425,807234309.5625,2666,7116,0.8469180365185438
0.145,813294598.5,2703,6904,0.8509666195144953
0.1475,821429622.9,2742,6705,0.8548363494463684
0.15,825847634.025,2775,6496,0.8587711168560883
0.16,850087758.5999999,2920,5758,0.8731281400907273
0.17,873215932.275,3053,5096,0.8860543388127409
0.18000000000000002,894247007.175,3175,4540,0.8970781913077411
0.19000000000000003,916774841.5875,3287,4044,0.9069638879404257
0.20000000000000004,938057777.4375,3403,3616,0.9158089849275645
0.21000000000000005,956254168.8000001,3501,3234,0.9236134822691576
0.22000000000000006,971455032.1125001,3587,2916,0.9301822675316651
0.23000000000000007,994103097.975,3701,2584,0.9374339463115621
0.24000000000000007,1009166874.3000001,3777,2322,0.9429296131896006
0.2500000000000001,1027049552.7750001,3862,2070,0.9484090206981773
0.2600000000000001,1045417150.6874999,3949,1861,0.9532217940588263
0.27000000000000013,1061560881.3375001,4027,1666,0.9576606019218574
0.28000000000000014,1073957051.8125,4091,1474,0.9618230005040405
0.29000000000000015,1088107373.7,4162,1300,0.9658065460221452
0.30000000000000016,1097066993.3999999,4209,1140,0.9691722355007073
0.31000000000000016,1106322445.2375002,4257,1004,0.9721639594816514
0.3200000000000002,1114961162.625,4301,899,0.9745866055314375
0.3300000000000002,1128180016.0125,4361,797,0.9772206233842251
0.3400000000000002,1136470825.3500001,4406,694,0.9796270100645497
0.3500000000000002,1144820955.4875002,4444,614,0.9815456156610247
0.3600000000000002,1151564721.975,4483,537,0.9834317025185764
0.3700000000000002,1159453949.5125,4523,480,0.9850088613563566
0.3800000000000002,1167429001.725,4562,431,0.986439685868982
0.39000000000000024,1175586060.3750002,4604,378,0.9879843259678389
0.40000000000000024,1183778459.8874998,4643,332,0.9893663723720794
0.41000000000000025,1188398136.1499999,4668,293,0.9904069720176252
0.42000000000000026,1193788430.775,4697,252,0.9915451278799409
0.43000000000000027,1198238743.4624999,4720,219,0.9924556525697933
0.4400000000000003,1202947781.7375002,4741,193,0.993219842934491
0.4500000000000003,1207606032.1125,4765,160,0.9941466269938052
0.4600000000000003,1212539026.725,4784,140,0.9947807424028097
0.4700000000000003,1215392323.05,4798,126,0.9952360047477359
0.4800000000000003,1217432101.6125002,4811,104,0.9958050826788937
0.4900000000000003,1221548381.6625,4833,89,0.9964066793489749
0.5000000000000003,1224607643.8875,4846,70,0.9969269791717478
0.5100000000000003,1227020350.725,4858,56,0.9973497227777507
0.5200000000000004,1228494772.8,4866,49,0.9975936133196754
0.5300000000000004,1231383847.95,4877,45,0.9978375038616002
0.5400000000000004,1233610484.2875001,4888,35,0.9981789506202949
0.5500000000000004,1235112830.55,4895,29,0.9983903224232964
0.5600000000000004,1238018310.4500003,4908,23,0.9986992504430678
0.5700000000000004,1239711239.8125,4918,20,0.9989106222460693
0.5800000000000004,1241824496.7375,4929,17,0.9991382534185325
0.5900000000000004,1243384808.625,4936,11,0.9993496252215339
0.6000000000000004,1244356846.7625,4941,9,0.9994634408077655
0.6100000000000004,1245085526.8125,4946,5,0.9996097751329204
0.6200000000000004,1246118323.6125,4951,4,0.9997073313496903
0.6300000000000004,1246805001.1125,4954,4,0.9997561094580752
0.6400000000000005,1247611835.3625002,4958,3,0.9998374063053834
0.6500000000000005,1247771167.7625003,4959,2,0.9998699250443068
0.6600000000000005,1248059203.7625,4960,2,0.9998861844137684
0.6700000000000005,1248544069.7625,4963,2,0.9999349625221534
0.6800000000000005,1248530443.7625,4963,1,0.999951221891615
0.6900000000000005,1248521712.3,4963,0,0.9999674812610767
0.7000000000000005,1248665703.975,4964,0,0.9999837406305383
0.7100000000000005,1248910971.975,4965,0,1.0
0.7200000000000005,1248910971.975,4965,0,1.0
0.7300000000000005,1248910971.975,4965,0,1.0
0.7400000000000005,1248910971.975,4965,0,1.0
0.7500000000000006,1248910971.975,4965,0,1.0
0.7600000000000006,1248910971.975,4965,0,1.0
0.7700000000000006,1248910971.975,4965,0,1.0
0.7800000000000006,1248910971.975,4965,0,1.0
0.7900000000000006,1248910971.975,4965,0,1.0
0.8000000000000006,1248910971.975,4965,0,1.0
0.8100000000000006,1248910971.975,4965,0,1.0
0.8200000000000006,1248910971.975,4965,0,1.0
0.8300000000000006,1248910971.975,4965,0,1.0
0.8400000000000006,1248910971.975,4965,0,1.0
0.8500000000000006,1248910971.975,4965,0,1.0
0.8600000000000007,1248910971.975,4965,0,1.0
0.8700000000000007,1248910971.975,4965,0,1.0
0.8800000000000007,1248910971.975,4965,0,1.0
0.8900000000000007,1248910971.975,4965,0,1.0
0.9000000000000007,1248910971.975,4965,0,1.0
0.9100000000000007,1248910971.975,4965,0,1.0
0.9200000000000007,1248910971.975,4965,0,1.0
0.9300000000000007,1248910971.975,4965,0,1.0
0.9400000000000007,1248910971.975,4965,0,1.0
